"filename", "language", "Vue", "XML", "JSON with Comments", "JSON", "CSS", "TypeScript", "Markdown", "YAML", "JavaScript", "comment", "blank", "total"
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/components/section/MandatoryDiags.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/components/section/Reviews.vue", "Vue", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 18
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/components/section/WantContactUs.vue", "Vue", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/config/tailwind.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 31
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/layouts/default.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/nuxt.config.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 5, 1, 52
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/package.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/contact/callUBack.vue", "Vue", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/contact/contactUs.vue", "Vue", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/diagnostics/energeticAudience.vue", "Vue", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/diagnostics/mandatory.vue", "Vue", 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 388
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/diagnostics/ourDiagnostician.vue", "Vue", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/howItWorks.vue", "Vue", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/index.vue", "Vue", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/mentions/cgu.vue", "Vue", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/mentions/legal.vue", "Vue", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/mentions/privacy.vue", "Vue", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/merci.vue", "Vue", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/quotation.vue", "Vue", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pages/reviews.vue", "Vue", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 5469, 0, 0, 790, 6259
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/public/sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ossamabenjemaa/Project/diagnostimmopro.vue/tsconfig.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"Total", "-", 2338, 97, 3, 21, 12, 46, 27, 5469, 29, 41, 871, 8954
